 Cloud Cover High [high cld lay], Direct Shortwave Radiation, FAO Reference Evapotranspiration [2 m], Relative Humidity [2 m], Relative Humidity [2 m]_1, Relative Humidity [2 m]_2, Soil Moisture [28-100 cm down], Soil Moisture [28-100 cm down]_10, Soil Moisture [28-100 cm down]_9, Soil Moisture [7-28 cm down], Soil Moisture [7-28 cm down]_7, Soil Moisture [7-28 cm down]_8, Soil Temperature [100-255 cm down], Soil Temperature [100-255 cm down]_3, Soil Temperature [100-255 cm down]_4, Temperature, Temperature [2 m elevation corrected], Temperature [2 m elevation corrected]_1, Temperature [2 m elevation corrected]_2, Temperature_5, Temperature_6, Vapor Pressure Deficit [2 m], Vapor Pressure Deficit [2 m]_1, Vapor Pressure Deficit [2 m]_2,Incendio
9.875,4311,3.5172274,72.746704,20.052275,46.44755,0.235,0.2338333,0.233,0.182,0.18,0.18058337,16.81,16.8,16.801247,36.6,25.549105,8.029105,15.983272,2.53,15.076249,22.953327,2.5252628,10.317803,0
34.583332,4184,3.68299,75.32345,16.057264,49.316113,0.234,0.23324995,0.233,0.183,0.182,0.18258339,16.8,16.79,16.791672,36.3,26.239105,8.4591055,16.122856,3.78,15.475417,25.121624,2.3553338,10.077785,0
40.916668,2991,2.9602888,86.39427,28.488724,62.474636,0.233,0.23125,0.23,0.183,0.18,0.18125002,16.79,16.78,16.781666,32.2,22.009106,10.649105,15.140771,7.06,15.325417,16.536745,1.6536598,6.5693,0
42.625,1798,2.0827527,81.09936,50.31305,67.324486,0.23,0.22991668,0.229,0.18,0.18,0.18000002,16.78,16.77,16.77458,28.64,18.589106,11.359105,14.050773,6.02,13.69875,9.112576,2.2214603,4.8528113,0
59.375,3324,2.8755422,92.253815,36.520992,66.66533,0.232,0.23029162,0.229,0.181,0.178,0.18033333,16.77,16.76,16.76542,29.48,20.909105,8.779105,12.966605,4.93,13.816667,13.708514,0.7558098,5.195478,0
42.958332,4466,3.5829933,81.22422,13.189811,52.913986,0.231,0.22974999,0.228,0.178,0.178,0.17799999,16.76,16.75,16.753334,32.77,24.609104,5.7991056,13.52702,1.35,12.989166,23.249346,1.4892473,8.555038,0
2.0416667,4248,3.0886686,77.928185,30.365583,57.42931,0.23,0.22866671,0.228,0.178,0.178,0.17799999,16.74,16.73,16.736256,29.31,18.099106,4.859105,10.762021,-0.92,10.326667,12.041316,1.9412332,5.550367,0
33.041668,3828,3.239669,82.246544,19.540274,49.265896,0.231,0.23087497,0.23,0.179,0.178,0.17862497,16.73,16.71,16.717081,33.33,21.809105,4.6991053,11.377439,-0.1,12.139168,18.376795,1.3037767,7.363012,0
79.208336,1355,2.582607,78.410965,20.27146,53.341534,0.23,0.23,0.23,0.178,0.178,0.17799999,16.7,16.68,16.691666,29.11,22.589106,6.889105,13.440773,3.81,12.552917,19.062767,1.8521008,7.9243827,0
65.708336,3363,3.4220765,71.589966,13.230637,46.7507,0.23,0.22941671,0.229,0.178,0.178,0.17799999,16.68,16.65,16.664999,33.36,24.739105,9.839106,15.559108,4.85,14.325001,23.72065,3.0048723,9.586302,0
7.3333335,4062,3.6927922,70.39154,16.438095,49.092545,0.229,0.22833335,0.227,0.178,0.177,0.17791665,16.65,16.62,16.637083,32.36,23.679106,6.4491053,14.227021,-0.59,12.4262495,21.415329,2.5175614,8.71155,0
5.375,3420,3.1655843,80.792305,24.138414,56.00996,0.227,0.22558333,0.216,0.179,0.177,0.17737502,16.62,16.59,16.609169,30.21,21.269106,9.809105,14.788274,4.44,13.277916,16.754623,2.0109205,7.305426,0
1.7083334,3643,2.9041827,89.90067,35.38192,64.640854,0.217,0.2160417,0.216,0.179,0.179,0.17899996,16.59,16.57,16.580418,29.77,19.709105,5.8691053,12.852439,2.21,12.8670845,12.862354,0.8072729,5.415128,0
3.125,3439,2.9029894,87.760475,25.455338,59.77916,0.217,0.2164167,0.216,0.179,0.178,0.17841667,16.57,16.54,16.551668,31.28,21.039104,7.729105,12.609104,5.17,13.5425005,15.931152,1.1658306,6.198738,0
58.458332,1396,2.3116467,83.767136,25.97835,57.20311,0.216,0.215625,0.215,0.178,0.177,0.17791665,16.54,16.51,16.522917,22.39,18.949104,6.109105,12.242439,3.49,10.117499,13.850832,1.3159003,6.116207,0
0,4591,3.6226664,67.55683,14.374667,44.256535,0.218,0.21616669,0.216,0.179,0.177,0.17766666,16.51,16.48,16.492086,33.17,23.659105,5.7891054,13.464522,-1.36,11.727917,21.086792,2.5715003,9.269326,0
11.041667,4186,3.6229696,51.576374,18.781618,37.56261,0.218,0.21741664,0.217,0.179,0.178,0.17891663,16.47,16.44,16.456251,34.32,24.159105,6.1791058,14.287437,-1.49,12.225834,21.303448,4.0155053,10.109661,0
8.833333,4638,3.7061598,79.56933,3.2392893,46.564053,0.219,0.21716665,0.217,0.181,0.178,0.17825,16.44,16.4,16.42,33.21,25.019106,7.059105,15.434105,1.7,13.560416,25.754053,1.769906,10.565599,0
1.0416666,4389,3.582172,81.720924,14.236759,47.547253,0.219,0.2183333,0.217,0.181,0.179,0.18033336,16.4,16.37,16.383333,32.86,24.559105,9.039105,14.945771,3.29,13.507499,23.190758,1.9838972,9.518129,0
0,4529,3.7411592,59.91706,8.469851,38.215816,0.218,0.21708332,0.217,0.181,0.179,0.17916663,16.37,16.33,16.348333,34.69,25.709105,7.349105,14.97869,0.59,13.241668,25.621056,3.6428046,11.142943,0
0,4746,3.98771,52.818398,5.2668366,30.767685,0.22,0.2181666,0.218,0.181,0.181,0.181,16.33,16.3,16.314999,35.29,25.909105,6.1791058,15.199105,-0.98,12.912083,27.519735,4.451261,12.612409,0
18.75,2908,2.5904644,90.08613,15.783231,59.52284,0.22,0.21933335,0.218,0.181,0.18,0.18041669,16.3,16.27,16.282497,30.89,19.159105,9.399105,13.536605,4.45,12.958335,14.479027,1.0092869,6.1872635,0
53.791668,3556,3.0486536,85.420555,31.026428,62.552017,0.218,0.21774995,0.217,0.18,0.179,0.17949997,16.27,16.24,16.25083,31.3,21.849106,8.479105,13.826188,4.34,13.516665,15.7925205,1.5149746,6.3493156,0
58.25,3059,3.0873752,91.00479,18.961279,55.69525,0.217,0.21691667,0.216,0.18,0.177,0.17875,16.23,16.2,16.21958,28.82,22.489105,6.7591057,13.854939,2.36,12.5625,19.304424,0.76312447,7.604427,0
46.458332,4482,3.7315674,65.190926,7.4528375,39.922592,0.216,0.21600004,0.216,0.178,0.177,0.17716669,16.2,16.18,16.189997,32.7,23.469105,8.589106,15.425773,1.24,13.848334,22.889668,3.6191077,10.692637,0
0.45833334,4745,3.8752437,54.684128,13.967862,36.792923,0.216,0.21537499,0.213,0.177,0.175,0.17683338,16.17,16.15,16.160833,34.08,24.519106,6.1591053,13.817021,-1.72,11.979583,23.206995,3.714932,10.386105,0
10.125,4068,3.6623187,74.31459,18.718994,49.27576,0.213,0.21241663,0.212,0.175,0.173,0.17433333,16.15,16.12,16.131666,32.62,24.859104,7.939105,14.708688,1.23,13.357085,22.382568,2.3652253,9.104072,0
43.291668,4510,3.5416334,82.901276,8.7753,47.312405,0.213,0.2125833,0.212,0.174,0.173,0.1730417,16.12,16.09,16.102919,34.02,22.959105,7.0891056,14.020355,-1.15,12.7725,21.778511,1.8344994,9.023595,0
0.45833334,4276,3.44667,71.874916,22.318005,47.206745,0.213,0.21241663,0.212,0.174,0.173,0.17333339,16.09,16.06,16.075003,34,22.729105,8.7091055,14.446189,3.94,14.170418,18.39664,2.7388272,8.662221,0
0,4648,3.6591892,86.34537,11.205778,52.25529,0.213,0.21245831,0.212,0.174,0.173,0.17308336,16.06,16.03,16.04542,35.41,24.429106,6.5891056,14.559104,0.38,13.702084,23.821362,1.2934723,9.157215,0
20.625,4645,3.7455308,66.375206,13.845948,43.646595,0.213,0.21224998,0.21,0.174,0.172,0.17333339,16.03,16.01,16.020002,34.81,25.169106,6.6691055,14.383689,-0.02,13.902917,24.173996,2.8506565,9.8873205,0
33.833332,4276,3.5126822,84.86891,20.28034,55.75417,0.21,0.21000002,0.21,0.173,0.172,0.17208332,16.01,15.98,15.994999,34.48,24.599106,9.599105,15.362854,5.4,15.554997,21.608994,1.6091156,8.254888,0
70.5,4485,3.8310323,73.34862,11.12697,43.30924,0.211,0.21008335,0.21,0.174,0.173,0.17308336,15.98,15.96,15.972915,35.25,24.519106,6.939105,14.641187,0.45,13.954999,23.97332,2.53683,10.392977,0
84.708336,4175,3.7908554,49.3956,7.3468285,31.738968,0.212,0.21158327,0.211,0.175,0.174,0.17449997,15.96,15.94,15.952919,35.07,24.009106,6.8791056,14.583272,0.16,13.5075,24.169703,4.3292084,11.258605,1
43.333332,4796,3.886123,52.75116,11.333444,34.162003,0.213,0.21249998,0.212,0.176,0.174,0.17495835,15.94,15.93,15.934581,36.74,24.659105,7.139105,14.862439,0.6,14.594584,23.556631,4.1160183,11.286147,0
