Nubosidad alta [alta capa], Radiación de onda corta directa, Evapotranspiración de referencia de la FAO [2 m], Humedad relativa [2 m], Humedad del suelo [28-100 cm de profundidad], Humedad del suelo [7-28 cm hacia abajo], Temperatura del suelo [100-255 cm abajo], Temperatura, Temperatura [elevación de 2 m corregida], Déficit de presión de vapor [2 m], Incendio
56.083332,4145,3.8626044,51.78153233333333,0.27155556000000003,0.20955557,17.165278,17.694306,17.058270666666665,11.095003566666668,1
24.708334,5050,3.9943705,46.33076833333334,0.2710416666666667,0.20997222333333332,17.149584,17.428472,17.37424366666667,12.737213966666667,0
21.708334,4346,3.627154,51.09879166666667,0.26697220000000005,0.2084861,17.13013966666667,18.673333000000003,16.90605,10.4911652,0
9.125,3662,3.1028543,64.75194833333335,0.26255554333333336,0.20752778333333333,17.11458166666667,18.711111666666667,15.891743333333332,6.95388995,0
10.583333,4382,3.5544853,58.568767,0.25904165333333334,0.2065277733333333,17.095555333333333,17.43625033333333,15.522715666666668,9.228612423333335,0
29.583334,5302,3.8700278,39.11705966666667,0.25756942666666666,0.20547220666666666,17.084859333333334,14.147778,14.681466200000001,12.223416566666666,0
61.166668,4886,3.7854006,32.634698,0.2565555666666667,0.20447222666666665,17.068889333333335,15.263194666666665,14.550215999999999,12.700525866666666,0
36.625,4503,3.5870304,54.20059999999999,0.2546805733333333,0.20149999,17.048889999999997,17.230416833333333,15.745355000000002,10.482623349999999,0
3.75,4953,3.9704876,41.007643,0.2515277666666667,0.19719444,17.020972333333336,17.471945,16.556466333333333,13.369737433333333,0
28.333334,4727,4.003178,37.606256333333334,0.24850000000000003,0.1955,17.000833,17.657916,16.372994866666666,13.3882908,0
2.0,4584,3.7859674,41.53412433333333,0.24722223333333335,0.19511110666666667,16.980555999999996,18.288473,17.269105,13.0793892,0
11.583333,4381,3.6265404,44.355438,0.24358334,0.19311111333333333,16.961110333333334,17.958888666666667,17.084660333333332,12.074020266666667,0
2.25,4087,3.3351884,57.23474566666667,0.24094442333333332,0.19094445666666668,16.945139,18.400555333333333,16.264243333333333,9.465034033333334,0
1.8333334,4499,3.556654,54.440885333333334,0.23852777,0.18894444666666665,16.92889,18.005,16.676466666666666,10.306595133333333,0
0.875,4212,3.4839973,52.37140766666667,0.2346944533333333,0.18658334666666665,16.91027766666667,18.96125,17.4273,10.317221,0
0.041666668,4486,3.8016448,54.246759,0.23147220999999998,0.18447222333333335,16.895695,18.407361,17.109105333333336,11.2737093,0
2.2083333,3828,3.3156958,56.376197,0.22994445333333333,0.18347223666666668,16.885278666666665,18.122777666666668,16.964522000000002,9.646314633333333,0
15.666667,3331,2.9185002,62.818332,0.23133333999999997,0.18444444666666668,16.874860666666667,17.542778000000002,16.231328,7.138692833333334,0
12.375,3937,3.277194,61.877408,0.23551389999999997,0.18699999666666667,16.86499866666667,18.239444333333335,16.489105333333335,8.665377913333334,0
23.166666,4563,3.628834,50.98555000000001,0.23545834333333335,0.18699999666666667,16.855556,18.337222,16.945216499999997,11.4611365,0
5.25,2167,2.4524555,64.390018,0.23394443333333334,0.18594444,16.845972666666665,17.003750333333333,15.640910333333332,7.486950913333334,0
44.083332,3952,3.260763,61.88966833333333,0.23206943333333332,0.18411111333333333,16.83569266666667,18.068194666666667,15.921882666666669,8.64231118,0
83.708336,4362,3.5792577,55.361796,0.23199997333333333,0.18300001,16.825418,18.242222333333334,16.285078333333335,10.69591502,0
36.541668,4633,3.5904655,52.944790000000005,0.2325833233333333,0.18211109333333333,16.814166,18.128055,16.424382933333334,11.577738766666664,0
9.875,4311,3.5172274,46.41550966666667,0.23394443333333334,0.18086112333333335,16.803749,18.068749666666665,16.520494,11.932130933333333,0
34.583332,4184,3.68299,46.89894233333333,0.23341665,0.18252779666666666,16.793890666666666,18.51847233333333,16.9403555,12.5182476,0
40.916668,2991,2.9602888,59.11921,0.2314166666666667,0.18141667333333333,16.783888666666666,18.195139,15.932994,8.253234933333333,0
42.625,1798,2.0827527,66.245632,0.22963889333333334,0.18000000666666668,16.77486,16.119583333333335,14.666328,5.395615866666667,0
59.375,3324,2.8755422,65.14671233333333,0.23043054,0.17977777666666664,16.76514,16.075555666666666,14.218271666666666,6.553267266666666,0
42.958332,4466,3.5829933,49.109339000000006,0.22958333,0.17799999666666666,16.754444666666668,15.703055333333333,14.645076533333333,11.0978771,0
2.0416667,4248,3.0886686,55.241026,0.22888890333333334,0.17799999666666666,16.735418666666664,12.905555666666666,11.240077333333332,6.5109720666666675,0
33.041668,3828,3.239669,50.35090466666666,0.23062499,0.17854165666666666,16.719027,15.123055999999998,12.628549766666666,9.014527900000001,0
79.208336,1355,2.582607,50.674653000000006,0.23,0.17799999666666666,16.690555333333332,15.157639000000001,14.306328,9.6130835,0
65.708336,3363,3.4220765,43.857101,0.2294722366666667,0.17799999666666666,16.664999666666667,17.511667,16.712439666666665,12.103941433333333,0
7.3333335,4062,3.6927922,45.307393333333344,0.22811111666666664,0.17763888333333333,16.635694333333333,14.732083166666667,14.785077433333333,10.881480133333334,0
5.375,3420,3.1655843,53.646893,0.22286111,0.17779167333333334,16.60638966666667,15.975971999999999,15.288828333333335,8.690323166666667,0
1.7083334,3643,2.9041827,63.30781466666667,0.2163472333333333,0.17899998666666664,16.58013933333333,14.949028166666666,12.810216433333332,6.361584966666666,0
3.125,3439,2.9029894,57.66499099999999,0.21647223333333332,0.17847222333333335,16.553889333333334,16.664166833333336,13.792437666666666,7.7652402,0
